population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
50,0.95,0.025,tournament,one_point,False,-0.5946765562316328,0.0053390432871772,0.2470932076760776,99.75290679232393,101.15741869993508
50,0.95,0.025,tournament,one_point,False,-0.5946839750915744,0.0078548174484986,0.3711634728921618,99.62883652710784,98.9360101999482
50,0.75,0.025,tournament,arithmetic,False,-0.5946938041382294,0.3016730297102557,15.772402147622156,84.22759785237784,97.76650760031772
50,0.95,0.025,roulette,uniform,False,-0.5947113501742426,1.0765679746280754,48.13364253297989,51.86635746702012,95.83021689974704
50,0.95,0.05,tournament,multi_points,False,-0.5947173514307856,0.0182351797169811,0.8536861368449672,99.14631386315504,105.1695582997054
50,0.75,0.05,tournament,arithmetic,False,-0.5947410895892156,0.8118124448922291,42.10533430387856,57.89466569612144,96.7268653997453
50,0.95,0.25,tournament,multi_points,False,-0.594751409471844,2.068327776697505,94.20674701272397,5.793252987276034,99.88057680020574
50,0.75,0.05,tournament,multi_points,False,-0.594751699719816,0.0106250553561426,0.4990093075477523,99.50099069245223,99.43581760046072
50,0.95,0.05,tournament,one_point,False,-0.5947677204517847,0.003766546611383,0.1783627374470928,99.82163726255293,97.80594480026048
50,0.95,0.25,tournament,one_point,False,-0.5948022062923203,2.122340961451753,96.6199657839446,3.3800342160553924,103.19277270021848
50,0.75,0.25,tournament,one_point,False,-0.5948180869286102,0.0103233912712463,0.4791799882295761,99.52082001177044,96.3098828002112
50,0.95,0.025,tournament,multi_points,False,-0.5948479757963352,0.0103501927427262,0.4804614039517106,99.51953859604828,97.02237980032804
50,0.75,0.05,tournament,arithmetic,False,-0.5948545954297197,0.6739678294424666,36.20318621785836,63.79681378214164,99.34818909980822
50,0.95,0.25,roulette,uniform,False,-0.5948773910994731,1.3690715820587098,61.00261565280631,38.99738434719369,99.27016880048905
200,0.75,0.025,tournament,arithmetic,False,-0.5948788814440016,0.0129389272905927,0.695209930083639,99.30479006991636,394.1334459998179
50,0.75,0.025,tournament,multi_points,False,-0.5948886045851062,0.0119204584017845,0.5583530819431781,99.44164691805682,94.10812070022804
50,0.75,0.05,tournament,one_point,False,-0.594901085676603,0.0112593838417765,0.5319352350416158,99.46806476495838,97.3448401996866
200,0.95,0.25,tournament,arithmetic,False,-0.5949081810266674,0.0067728489697605,0.3981382639455384,99.60186173605446,397.11877570010256
50,0.75,0.025,tournament,one_point,False,-0.5949168342470086,0.0076741400390608,0.3573680350005487,99.64263196499944,94.23772060021292
50,0.95,0.25,roulette,one_point,False,-0.5949244554700296,2.120729766695373,94.30162006784104,5.698379932158971,97.54395469964948
50,0.75,0.025,roulette,uniform,False,-0.5949333473265538,1.507188526323036,67.26809695194338,32.73190304805662,95.65301549970172
